city_ascii,country,population
New York,United States,19354922
Shanghai,China,14987000
Los Angeles,United States,12815475
Beijing,China,11106000
Guangzhou,China,8829000
Chicago,United States,8675982
London,United Kingdom,8567000
Shenzhen,China,7581000
Wuhan,China,7243000
Tianjin,China,7180000
Chongqing,China,6461000
Miami,United States,6381966
Dallas,United States,5733259
Philadelphia,United States,5637884
Houston,United States,5446468
Washington,United States,5289420
Atlanta,United States,5228750
Shenyeng,China,4787000
Boston,United States,4637537
Dongguan,China,4528000
Chengdu,China,4123000
Phoenix,United States,4081849
Xian,China,4009000
Hechi,China,3830000
Nanjing,China,3679000
Guiyang,China,3662000
Seattle,United States,3643765
Harbin,China,3621000
San Francisco,United States,3603761
Zhangzhou,China,3531147
Detroit,United States,3522206
San Diego,United States,3210314
Changchun,China,3183000
Dalian,China,3167000
Zibo,China,3061000
Hangzhou,China,3007000
Kunming,China,2931000
Minneapolis,United States,2926757
Taiyuan,China,2913000
Qingdao,China,2866000
Tampa,United States,2804240
Jinan,China,2798000
Denver,United States,2787266
Zhengzhou,China,2636000
Brooklyn,United States,2629150
Fuzhou,China,2606000
Changsha,China,2604000
Xiangtan,China,2586948
Lanzhou,China,2561000
Xiamen,China,2519000
Jinxi,China,2426000
Shijianzhuang,China,2417000
Jilin,China,2396000
Nanchang,China,2350000
Wenzhou,China,2350000
Queens,United States,2333054
Birmingham,United Kingdom,2285000
Manchester,United Kingdom,2230000
Nanchong,China,2174000
Baltimore,United States,2170504
Nanning,China,2167000
Urumqi,China,2151000
Zaozhuang,China,2145000
Yantai,China,2116000
Xuzhou,China,2091000
Riverside,United States,2084749
Linyi,China,2082000
Saint Louis,United States,2078283
Las Vegas,United States,2073045
Portland,United States,2052796
Haikou,China,2046189
Baotou,China,2036000
Hefei,China,2035000
San Antonio,United States,2002530
Suzhou,China,1964000
Nanyang,China,1944000
Ningbo,China,1923000
Tangshan,China,1879000
Datong,China,1873000
Sacramento,United States,1854698
San Jose,United States,1821899
Orlando,United States,1776841
Shuyang,China,1770000
Shangqiu,China,1753000
Wuxi,China,1749000
Cleveland,United States,1730363
Hohhot,China,1726000
Pittsburgh,United States,1715297
Luoyang,China,1715000
Jianmen,China,1708000
Daqing,China,1693000
Luan,China,1690000
Wanzhou,China,1680000
Suzhou,China,1650000
Cincinnati,United States,1648254
Manhattan,United States,1643734
Qiqihar,China,1641000
Anshan,China,1639000
Austin,United States,1638716
Handan,China,1631000
Taian,China,1629000
Kansas City,United States,1615621
Shantou,China,1601000
Zhanjiang,China,1590000
Indianapolis,United States,1564699
Xiantao,China,1556000
Weifang,China,1553000
Xinyang,China,1541000
Luzhou,China,1537000
Leeds,United Kingdom,1529000
Columbus,United States,1528314
Ganzhou,China,1500000
Liuzhou,China,1497000
Virginia Beach,United States,1480383
Fushun,China,1470000
Changde,China,1469000
Charlotte,United States,1467362
Neijiang,China,1466000
Quanzhou,China,1463000
Bronx,United States,1455720
Huainan,China,1451000
Suining,China,1425000
Mianyang,China,1396000
Milwaukee,United States,1377808
Maanshan,China,1366302
Yiyang,China,1352000
Heze,China,1338000
Changzhou,China,1327000
Sheffield,United Kingdom,1292900
Chifeng,China,1277000
Huaiyin,China,1264000
Mudangiang,China,1244000
Huzhou,China,1231000
Tianshui,China,1225000
Lupanshui,China,1221000
Maoming,China,1217715
Providence,United States,1206642
Jining,China,1186000
Glasgow,United Kingdom,1160000
