Paris,France,9904000
Toronto,Canada,5213000
Sydney,Australia,4630000
Melbourne,Australia,4170000
Montreal,Canada,3678000
Berlin,Germany,3406000
Stuttgart,Germany,2944700
Frankfurt,Germany,2895000
Mannheim,Germany,2362000
Vancouver,Canada,2313328
Brisbane,Australia,1860000
Hamburg,Germany,1757000
Essen,Germany,1742135
Perth,Australia,1532000
Lyon,France,1423000
Marseille,France,1400000
Duisburg,Germany,1276757
Munich,Germany,1275000
Geneva,Switzerland,1240000
Dusseldorf,Germany,1220000
Ottawa,Canada,1145000
Adelaide,Australia,1145000
Newcastle,Australia,1134616
Calgary,Canada,1110000
Zurich,Switzerland,1108000
Edmonton,Canada,1058000
Lille,France,1044000
Cologne,Germany,1004000
Nice,France,927000
Toulouse,France,847000
Basel,Switzerland,830000
Bordeaux,France,803000
Wuppertal,Germany,776525
Saarbrucken,Germany,770001
Nurnberg,Germany,737304
Bremen,Germany,724909
Hannover,Germany,722490
Hamilton,Canada,721053
Bonn,Germany,680543
Winnipeg,Canada,632063
Quebec,Canada,624177
Dresden,Germany,617515
Wiesbaden,Germany,617126
Dortmund,Germany,588462
Leipzig,Germany,542529
Rouen,France,532559
Gold Coast,Australia,527660
Cranbourne,Australia,460491
Oshawa,Canada,450963
Strasbourg,France,439972
Nantes,France,438537
Heidelberg,Germany,426590
Kitchener,Canada,417001
Metz,France,409186
Grenoble,France,388574
Karlsruhe,Germany,377487
Halifax,Canada,359111
Augsburg,Germany,358989
Toulon,France,357693
London,Canada,346765
Bielefeld,Germany,331906
Canberra,Australia,327700
Montpellier,France,327254
Windsor,Canada,319246
Koblenz,Germany,312633
Chemnitz,Germany,302643
Kassel,Germany,289924
Victoria,Canada,289625
Bern,Switzerland,275329
Munster,Germany,270184
Kiel,Germany,269427
Nancy,France,268976
Lausanne,Switzerland,265702
Saint-Etienne,France,265684
Wollongong,Australia,260914
Freiburg,Germany,254889
Luzern,Switzerland,250000
Melun,France,249432
Braunschweig,Germany,244715
Le Havre,France,242124
Furth,Germany,237844
Tours,France,236096
Lubeck,Germany,235390
Clermont-Ferrand,France,233050
Osnabruck,Germany,231268
Magdeburg,Germany,229826
Potsdam,Germany,218095
Orleans,France,217301
Mulhouse,France,215454
Rennes,France,209375
Erfurt,Germany,203254
Rostock,Germany,203080
Saskatoon,Canada,198958
Reims,France,196565
Caen,France,190099
Angers,France,188380
Mainz,Germany,184997
Barrie,Canada,182041
Regina,Canada,176183
Ulm,Germany,172955
Dijon,France,169946
Nimes,France,169547
Wurzburg,Germany,168561
Oldenburg,Germany,167458
Regensburg,Germany,164359
Ingolstadt,Germany,163325
Geelong,Australia,160991
Sudbury,Canada,157857
Cairns,Australia,154225
Limoges,France,152199
Abbotsford,Canada,151683
Aix-en-Provence,France,146821
Perpignan,France,146620
Biarritz,France,145348
Brest,France,144899
Le Mans,France,144515
Sarnia,Canada,144172
Amiens,France,143086
Sherbrooke,Canada,139652
Gottingen,Germany,139419
Townsville,Australia,138954
Bremerhaven,Germany,137751
St. John's,Canada,131469
Besancon,France,128426
Kelowna,Canada,125109
Trois Rivieres,Canada,119693
Kingston,Canada,114195
Annecy,France,105749
Lugano,Switzerland,105388
Cottbus,Germany,105067
Jena,Germany,104712
Gera,Germany,104659
Albury,Australia,104258
Thunder Bay,Canada,99334
Flensburg,Germany,97930
